Object model;Database model
Hierarchical database model;Database model
Network model;Database model
Relational model;Database model
Structure;Database model
Data;Database model
Relational model;Database model
Data model;Database model
Relational algebra;Database model
Data model;Database model
Finite set;Database model
Foreign key;Database model
Data structure;Database model
Relational database;Database model
Data type;Database model
Transaction processing;Database model
Data structure;Database model
Hierarchy;Database model
Star schema;Database model
Developed country;Database model
IBM;Database model
Network model;Database model
Hierarchical database model;Database model
Relational model;Database model
Network model;Database model
Database design;Database model
Hierarchical database model;Database model
Database;Database model
Entity–relationship model;Database model
Unique key;Database model
Natural number;Database model
Telephone number;Database model
Telephone number;Database model
Data integrity;Database model
Hierarchical database model;Database model
Entity;Database model
Treemapping;Database model
Table (database);Database model
Branch;Database model
Tree structure;Database model
Adansonia;Database model
Root directory;Database model
Record type;Database model
Network model;Database model
