Category Match;0.7777777777777778;Rational number;Algebraic function;Real analysis;2;Real analysis;1
Category Match;0.1111111111111111;Calibration curve;Algebraic function;Analysis;1;Analysis;2
Category Match;1.0;Constant function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Quadratic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Cubic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Quartic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Quintic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Cube root;Algebraic function;Types of functions;2;Types of functions;0
Category Match;0.8888888888888888;Monotonic function;Algebraic function;Functions and mappings;1;Functions and mappings;0
Category Match;1.0;Elliptic curve;Algebraic function;Meromorphic functions;2;Meromorphic functions;0
Category Match;1.0;Elliptic function;Algebraic function;Types of functions;2;Types of functions;0
Category Match;1.0;Sine wave;Algebraic function;Special functions;2;Special functions;0
Category Match;0.8888888888888888;Even and odd functions;Algebraic function;Functions and mappings;1;Functions and mappings;0
Category Match;1.0;Transcendental function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;0.4444444444444444;Algebraic curve;Algebraic function;Manifolds;2;Manifolds;2
Category Match;1.0;Quartic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Smoothness;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;0.4444444444444444;Projective line;Algebraic function;Manifolds;2;Manifolds;2
Category Match;0.7777777777777778;Bathtub curve;Algebraic function;Mathematical objects;2;Mathematical objects;1
Category Match;1.0;Normal distribution;Algebraic function;Types of functions;2;Types of functions;0
Category Match;0.7777777777777778;Fish curve;Algebraic function;Mathematical objects;2;Mathematical objects;1
Category Match;0.7777777777777778;Gompertz function;Algebraic function;Mathematical objects;2;Mathematical objects;1
Category Match;0.5555555555555556;Hubbert curve;Algebraic function;Mathematical objects;1;Mathematical objects;1
Category Match;0.7777777777777778;Learning curve;Algebraic function;Mathematical objects;2;Mathematical objects;1
Category Match;1.0;Logistic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;0.4444444444444444;Projective variety;Algebraic function;Fields of mathematics;2;Fields of mathematics;2
Category Match;0.4444444444444444;Algebraic variety;Algebraic function;Fields of mathematics;2;Fields of mathematics;2
Category Match;0.7777777777777778;Algebraic equation;Algebraic function;Mathematical analysis;2;Mathematical analysis;1
Category Match;0.4444444444444444;Line (geometry);Algebraic function;Abstraction;2;Abstraction;2
Category Match;0.7777777777777778;Sextic equation;Algebraic function;Mathematical analysis;2;Mathematical analysis;1
Category Match;0.4444444444444444;Two-dimensional space;Algebraic function;Fields of mathematics;2;Fields of mathematics;2
Category Match;0.7777777777777778;Interval (mathematics);Algebraic function;Mathematical objects;2;Mathematical objects;1
Category Match;0.7777777777777778;Cartesian coordinate system;Algebraic function;Mathematical analysis;2;Mathematical analysis;1
Category Match;1.0;Covering space;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;0.7777777777777778;Additive group;Algebraic function;Mathematical objects;2;Mathematical objects;1
Category Match;0.1111111111111111;Trivial group;Algebraic function;Algebraic structures;1;Algebraic structures;2
Category Match;1.0;Complex torus;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;1.0;Meromorphic function;Algebraic function;Functions and mappings;2;Functions and mappings;0
Category Match;0.4444444444444444;Generalization;Algebraic function;Abstraction;2;Abstraction;2
Category Match;0.4444444444444444;Projective variety;Algebraic function;Fields of mathematics;2;Fields of mathematics;2
Category Match;1.0;Cube (algebra);Algebraic function;Types of functions;2;Types of functions;0
Category Match;0.7777777777777778;Curve;Algebraic function;Mathematical objects;2;Mathematical objects;1
