Stochastic gradient descent;MLPACK (C%252B%252B library)
Neighbourhood components analysis;MLPACK (C%252B%252B library)
Collaborative filtering;MLPACK (C%252B%252B library)
Linear regression;MLPACK (C%252B%252B library)
Range searching;MLPACK (C%252B%252B library)
Machine learning;MLPACK (C%252B%252B library)
Georgia Institute of Technology;MLPACK (C%252B%252B library)
Principal component analysis;MLPACK (C%252B%252B library)
Least-angle regression;MLPACK (C%252B%252B library)
Cover tree;MLPACK (C%252B%252B library)
