Rational number;Algebraic function
Linear A;Algebraic function
POWER1;Algebraic function
Cardiac function curve;Algebraic function
Species–area curve;Algebraic function
Calibration curve;Algebraic function
Constant function;Algebraic function
Quadratic function;Algebraic function
Cubic function;Algebraic function
Quartic function;Algebraic function
Quintic function;Algebraic function
Cube root;Algebraic function
Monotonic function;Algebraic function
Elliptic curve;Algebraic function
Elliptic function;Algebraic function
Sine wave;Algebraic function
Even and odd functions;Algebraic function
Transcendental function;Algebraic function
Algebraic curve;Algebraic function
Dose–response relationship;Algebraic function
Stress–strain curve;Algebraic function
Quartic function;Algebraic function
Algebraically closed field;Algebraic function
Smoothness;Algebraic function
Projective line;Algebraic function
Bathtub curve;Algebraic function
Normal distribution;Algebraic function
Fish curve;Algebraic function
Forgetting curve;Algebraic function
Gompertz function;Algebraic function
Hubbert curve;Algebraic function
Kruithof curve;Algebraic function
Learning curve;Algebraic function
Light curve;Algebraic function
Logistic function;Algebraic function
Paschen's law;Algebraic function
Galaxy rotation curve;Algebraic function
Projective variety;Algebraic function
Algebraic variety;Algebraic function
Algebraic equation;Algebraic function
Line (geometry);Algebraic function
Sextic equation;Algebraic function
Two-dimensional space;Algebraic function
Interval (mathematics);Algebraic function
Cartesian coordinate system;Algebraic function
Arithmetic genus;Algebraic function
Covering space;Algebraic function
Unit disk;Algebraic function
Additive group;Algebraic function
Trivial group;Algebraic function
Complex torus;Algebraic function
Meromorphic function;Algebraic function
Generalization;Algebraic function
Projective variety;Algebraic function
Social group;Algebraic function
Cube (algebra);Algebraic function
Curve;Algebraic function
