2;Computer_Education;provides;lectures_series;0.822
2;data_structure;covers_Introduction_to;Trees_Definitions_and_Terminology_Classification_of_Trees_Application_of_Trees_Data_Structures;0.742
2;c_Trees;be_using_tutorial_Trees_ppt;Binary_search_tree_Binary_trees_in_data_structure_Tree_traversal_in_data_structure;0.699
2;tutorial_Trees;be_using_c_Trees_ppt;Binary_search_tree_Binary_trees_in_data_structure_Tree_traversal_in_data_structure;0.699
2;Tree;is_Have;a_look;0.593
2;Introduction;be_covers_by;data_structure;0.587
2;c_Trees;be_using_tutorial_Trees_in;data_structure;0.532
2;Binary_search_tree;be_Binary_trees_in;data_structure_Tree_traversal;0.501
2;Binary_search_tree;be_Binary_trees_in;data_structure;0.501
2;data_structure;covers_Introduction_in;data_structure;0.467
2;tutorial_Trees;be_using_c_Trees_in;data_structure;0.445
2;types_of_trees;using_c_Trees_ppt;Binary_search_tree_Binary_trees_in_data_structure_Tree_traversal_in_data_structure;0.424
2;types_of_trees;using_tutorial_Trees_ppt;Binary_search_tree_Binary_trees_in_data_structure_Tree_traversal_in_data_structure;0.424
2;types_of_trees;using_c_Trees_in;data_structure;0.402
2;types_of_trees;using_tutorial_Trees_in;data_structure;0.265
29;Manipulate;sorted;lists_of_data;0.871
31;digital_images;be_compositing_for;visual_effects;0.674
40;Manipulate;sorted;lists_of_data;0.871
42;digital_images;be_compositing_for;visual_effects;0.674
