12;you;were_in;elementary_school;0.937
13;Your_teacher;told_you_to_fill_in;the_box;0.926
13;Your_teacher;gave_you;worksheets_containing_statements_like_2_4;0.887
13;Your_teacher;told;you;0.812
13;Your_teacher;to_fill_in;the_box;0.771
14;your_teacher;started_giving_you;worksheets_containing_statements_like_x_2_4;0.814
14;your_teacher;told_you_to_solve_for;x;0.8
14;your_teacher;to_solve_for;x;0.683
14;your_teacher;told;you;0.672
34;This_word_problem;deals_with;calculating_profit;0.865
34;This_word_problem;deals_after;a_certain_number_of_years;0.857
34;math;deals_with;calculating_profit;0.742
34;math;deals_after;a_certain_number_of_years;0.727
35;a_function;to_be_use_from;the_word_problem_to_solve;0.801
39;function_notation_It_s_a_way;be_s_by;f;0.734
39;It;s;a_way_to_indicate_that_an_equation_is_a_function;0.728
39;an_equation;is;a_function;0.598
39;a_way_to_indicate_that_an_equation_is_a_function;be_s_by;function_notation;0.564
41;a_function;To_be_solve_for;a_given_value;0.78
43;a_quadratic_polynomial;is_in;standard_form;0.875
43;it;to_be_put_in;standard_form;0.69
43;it;to_be_put_watch;this_tutorial;0.69
47;words;be_translate_to;algebra;0.743
56;It;s;a_way_to_indicate_that_an_equation_is_a_function_Learn_about_function_notation_by_watching_this_tutorial;0.667
56;an_equation;is;a_function;0.564
56;a_way_to_indicate_that_an_equation_is_a_function_Learn_about_function_notation_by_watching_this_tutorial;be_s_by;function_notation;0.491
58;function_notation_It_s_a_way;be_s_by;f;0.734
58;It;s;a_way_to_indicate_that_an_equation_is_a_function_Learn_about_function_notation_by_watching_this_tutorial;0.728
58;an_equation;is;a_function;0.634
58;a_way_to_indicate_that_an_equation_is_a_function_Learn_about_function_notation_by_watching_this_tutorial;be_s_by;function_notation;0.564
61;You;Have;a_Value_To_solve_a_function_for_a_given_value;0.813
61;value;See;this_first_hand;0.758
61;a_function;To_be_solve_for;a_given_value;0.709
62;a_quadratic_polynomial;is_in;standard_form;0.847
62;the_Standard_Form_of_a_Quadratic;Got;a_quadratic_polynomial;0.71
62;Graphing_Definitions_and_Examples_What_is_the_Standard_Form_of_a_Quadratic_Got_a_quadratic_polynomial;Want_to_put_it_in;standard_form;0.704
62;it;to_be_put_in;standard_form;0.637
62;it;to_be_put_watch;this_tutorial;0.637
62;Graphing_Definitions_and_Examples_What_is_the_Standard_Form_of_a_Quadratic_Got_a_quadratic_polynomial;Want_to_put_it_watch;this_tutorial;0.561
62;Graphing_Definitions_and_Examples_What_is_the_Standard_Form_of_a_Quadratic_Got_a_quadratic_polynomial;Want_to_put;it;0.547
63;You;Have;a_Value_To_solve_a_function_for_a_given_value;0.813
63;value;See;this_first_hand;0.758
63;a_function;To_be_solve_for;a_given_value;0.709
65;a_quadratic_polynomial;is_in;standard_form;0.847
65;the_Standard_Form_of_a_Quadratic;Got;a_quadratic_polynomial;0.71
65;it;to_be_put_in;standard_form;0.637
65;it;to_be_put_watch;this_tutorial;0.637
71;This_word_problem;deals_with;calculating_profit;0.865
71;This_word_problem;deals_after;a_certain_number_of_years;0.857
71;math;deals_with;calculating_profit;0.742
71;math;deals_after;a_certain_number_of_years;0.727
72;a_function;to_be_use_from;the_word_problem_to_solve;0.801
79;You;Have;a_Value_To_solve_a_function_for_a_given_value;0.813
79;value;See;this_first_hand;0.758
79;a_function;To_be_solve_for;a_given_value;0.709
80;a_quadratic_polynomial;is_in;standard_form;0.847
80;the_Standard_Form_of_a_Quadratic;Got;a_quadratic_polynomial;0.71
80;Graphing_Definitions_and_Examples_What_is_the_Standard_Form_of_a_Quadratic_Got_a_quadratic_polynomial;Want_to_put_it_in;standard_form;0.704
80;it;to_be_put_in;standard_form;0.637
80;it;to_be_put_watch;this_tutorial;0.637
80;Graphing_Definitions_and_Examples_What_is_the_Standard_Form_of_a_Quadratic_Got_a_quadratic_polynomial;Want_to_put_it_watch;this_tutorial;0.561
80;Graphing_Definitions_and_Examples_What_is_the_Standard_Form_of_a_Quadratic_Got_a_quadratic_polynomial;Want_to_put;it;0.547
