Page description language;Domain-specific language
Turing completeness;Domain-specific language
Simple (bank);Domain-specific language
Problem;Domain-specific language
General-purpose programming language;Domain-specific language
Domain-specific modeling;Domain-specific language
Information Age;Domain-specific language
Scripting language;Domain-specific language
Customer;Domain-specific language
Source code;Domain-specific language
Element (UML);Domain-specific language
Software system;Domain-specific language
Fluent interface;Domain-specific language
GNU Emacs;Domain-specific language
Shell script;Domain-specific language
Application domain;Domain-specific language
Web page;Domain-specific language
Regular expression;Domain-specific language
Parse tree;Domain-specific language
Attribute grammar;Domain-specific language
Parallel language;Domain-specific language
Domain (biology);Domain-specific language
