Data model;Database model
SQL;Database model
Hierarchical database model;Database model
Network model;Database model
Memory management;Database model
Functional dependency;Database model
Entity–relationship model;Database model
IBM Information Management System;Database model
File system;Database model
Type conversion;Database model
Economic development;Database model
Data structure diagram;Database model
Relational database;Database model
Transaction processing;Database model
Concurrency control;Database model
dial indicator;Database model
Database;Database model
Typecasting (acting);Database model
Type (metaphysics);Database model
Data modeling;Database model
Database design;Database model
The Real World;Database model
Business process;Database model
Dataflow;Database model
Hierarchy;Database model
property;Database model
Postgraduate education;Database model
Data structure;Database model
Adansonia;Database model
Root directory;Database model
Path (computing);Database model
Conflict (process);Database model
Close (surname);Database model
Call (band);Database model
Tree (data structure);Database model
Relational algebra;Database model
Loop (computing);Database model
Information;Database model
Financial transaction;Database model
Object database;Database model
Entity;Database model
Classification;Database model
Tree structure;Database model
Record type;Database model
Class-responsibility-collaboration card;Database model
Interpersonal relationship;Database model
Diagram;Database model
Object type (object-oriented programming);Database model
Real number;Database model
Technical support;Database model
Object (computer science);Database model
Business administration;Database model
New product development;Database model
Conceptual model;Database model
Object-oriented programming;Database model
Run time (program lifecycle phase);Database model
Biological network;Database model
Internal combustion engine;Database model
Exhaust system;Database model
Inlet manifold;Database model
Telephone number;Database model
Data type;Database model
Simple (bank);Database model
Developed country;Database model
Stiffness;Database model
Data integrity;Database model
Foreign key;Database model
IBM;Database model
Star schema;Database model
USS Enhance;Database model
Relational model;Database model
Object (philosophy);Database model
exempli gratia;Database model
Data;Database model
Structure;Database model
