Simple (bank);Domain-specific language
Domain (biology);Domain-specific language
Problem;Domain-specific language
Domain-specific modeling;Domain-specific language
Information Age;Domain-specific language
Customer;Domain-specific language
GNU Emacs;Domain-specific language
Source code;Domain-specific language
Element (UML);Domain-specific language
Application domain;Domain-specific language
Web page;Domain-specific language
Software system;Domain-specific language
Fluent interface;Domain-specific language
Regular expression;Domain-specific language
Parse tree;Domain-specific language
Attribute grammar;Domain-specific language
Parallel language;Domain-specific language
