Category Match;1.0;domain-specific modeling;domain-specific language;Programming language classification;2;Programming language classification;0
Category Match;0.4444444444444444;gnu emacs;domain-specific language;Computer programming;2;Computer programming;2
Category Match;0.4444444444444444;source code;domain-specific language;Software engineering;2;Software engineering;2
Category Match;0.4444444444444444;element (uml);domain-specific language;Computer languages;2;Computer languages;2
Category Match;0.4444444444444444;application domain;domain-specific language;Software engineering;2;Software engineering;2
Category Match;0.4444444444444444;web page;domain-specific language;Software engineering;2;Software engineering;2
Category Match;0.1111111111111111;software system;domain-specific language;Software engineering;1;Software engineering;2
Category Match;0.4444444444444444;fluent interface;domain-specific language;Computer programming;2;Computer programming;2
Category Match;0.7777777777777778;regular expression;domain-specific language;Programming language topics;2;Programming language topics;1
Category Match;0.4444444444444444;parse tree;domain-specific language;Computer programming;2;Computer programming;2
Category Match;0.7777777777777778;attribute grammar;domain-specific language;Programming language topics;2;Programming language topics;1
Category Match;0.2222222222222222;parallel language;domain-specific language;Computer languages;0;Computer languages;2
