algorithms in mlpack;mlpack;8;MLPACK (C++ library)
types of erasure code;erasure_code;8;Erasure code
examples of domain specific language;domain-specific_language;8;Domain-specific language
examples of message passing;message_passing;8;Message passing
types of terminal emulator;terminal_emulator;8;Terminal emulator
types of wireless sensor network;wireless_sensor_network;8;Wireless sensor network
examples of architectural pattern;architectural_pattern;8;Architectural pattern
examples of reflection computer programming;reflection_(computer_programming);8;Reflection (computer programming)
examples of turing completeness;turing_completeness;8;Turing completeness
examples of symmetric multiprocessing;symmetric_processing;8;Symmetric multiprocessing
